Date,Open,High,Low,Close,Adjusted_close,Volume
2023-08-10,179.48,180.75,177.6,177.97,177.4962,54686900
2023-08-11,177.32,178.62,176.55,177.79,177.5561,51988100
2023-08-14,177.97,179.69,177.31,179.46,179.2239,43675600
2023-08-15,178.88,179.48,177.05,177.45,177.2165,43622600
2023-08-16,177.13,178.54,176.5,176.57,176.3377,46964900
2023-08-17,177.14,177.51,173.48,174,173.7711,66062900
2023-08-18,172.3,175.1,171.96,174.49,174.2604,61114200
2023-08-21,175.07,176.13,173.74,175.84,175.6086,46311900
2023-08-22,177.06,177.68,176.25,177.23,176.9968,42084200
2023-08-23,178.52,181.55,178.33,181.12,180.8817,52722800
2023-08-24,180.67,181.1,176.01,176.38,176.1479,54945800
2023-08-25,177.38,179.15,175.82,178.61,178.375,51449600
2023-08-28,180.09,180.59,178.55,180.19,179.9529,43820700
2023-08-29,179.7,184.9,179.5,184.12,183.8778,53003900
2023-08-30,184.94,187.85,184.74,187.65,187.4031,60813900
2023-08-31,187.84,189.12,187.48,187.87,187.6228,60794500
2023-09-01,189.49,189.92,188.28,189.46,189.2107,45732600
2023-09-05,188.28,189.98,187.61,189.7,189.4504,45280000
2023-09-06,188.4,188.85,181.47,182.91,182.6693,81755800
2023-09-07,175.18,178.21,173.54,177.56,177.3264,112488800
2023-09-08,178.35,180.24,177.79,178.18,177.9456,65551300
2023-09-11,180.07,180.3,177.34,179.36,179.124,58953100
2023-09-12,179.49,180.13,174.82,176.3,176.068,90370200
2023-09-13,176.51,177.3,173.98,174.21,173.9808,84267900
2023-09-14,174,176.1,173.58,175.74,175.5088,60895800
2023-09-15,176.48,176.5,173.82,175.01,174.7797,109205100
2023-09-18,176.48,179.38,176.17,177.97,177.7358,67257600
2023-09-19,177.52,179.63,177.13,179.07,178.8344,51826900
2023-09-20,179.26,179.7,175.4,175.49,175.2591,58436200
2023-09-21,174.55,176.3,173.86,173.93,173.7012,63047900
2023-09-22,174.67,177.08,174.05,174.79,174.56,56725400
2023-09-25,174.2,176.97,174.15,176.08,175.8483,46172700
2023-09-26,174.82,175.2,171.66,171.96,171.7337,64588900
2023-09-27,172.62,173.04,169.05,170.43,170.2058,66921800
2023-09-28,169.34,172.03,167.62,170.69,170.4654,56294400
2023-09-29,172.02,173.07,170.34,171.21,170.9847,51814200
2023-10-02,171.22,174.3,170.93,173.75,173.5214,52164500
2023-10-03,172.26,173.63,170.82,172.4,172.1732,49594600
2023-10-04,171.09,174.21,170.97,173.66,173.4315,53020300
2023-10-05,173.79,175.45,172.68,174.91,174.6799,48527900
2023-10-06,173.8,177.99,173.18,177.49,177.2565,57224100
2023-10-09,176.81,179.05,175.8,178.99,178.7545,42390800
2023-10-10,178.1,179.72,177.95,178.39,178.1553,43698000
2023-10-11,178.2,179.85,177.6,179.8,179.5634,47551100
2023-10-12,180.07,182.34,179.04,180.71,180.4722,56743100
2023-10-13,181.42,181.93,178.14,178.85,178.6147,51427100
2023-10-16,176.75,179.08,176.51,178.72,178.4849,52517000
2023-10-17,176.65,178.42,174.8,177.15,176.9169,57549400
2023-10-18,175.58,177.58,175.11,175.84,175.6086,54764400
2023-10-19,176.04,177.84,175.19,175.46,175.2291,59302900
2023-10-20,175.31,175.42,172.64,172.88,172.6525,64189300
2023-10-23,170.91,174.01,169.93,173,172.7724,55980100
2023-10-24,173.05,173.67,171.45,173.44,173.2118,43816600
2023-10-25,171.88,173.06,170.65,171.1,170.8749,57157000
2023-10-26,170.37,171.38,165.67,166.89,166.6704,70625300
2023-10-27,166.91,168.96,166.83,168.22,167.9987,58499100
2023-10-30,169.02,171.17,168.87,170.29,170.0659,51131000
2023-10-31,169.35,170.9,167.9,170.77,170.5453,44846000
2023-11-01,171,174.23,170.12,173.97,173.7411,56934900
2023-11-02,175.52,177.78,175.46,177.57,177.3364,77334800
2023-11-03,174.24,176.82,173.35,176.65,176.4176,79763700
2023-11-06,176.38,179.43,176.21,179.23,178.9942,63841300
2023-11-07,179.18,182.44,178.97,181.82,181.5808,70530000
2023-11-08,182.35,183.45,181.59,182.89,182.6494,49340300
2023-11-09,182.96,184.12,181.81,182.41,182.17,53763500
2023-11-10,183.97,186.57,183.53,186.4,186.4,66133400
2023-11-13,185.82,186.03,184.21,184.8,184.8,43627500
2023-11-14,187.7,188.11,186.3,187.44,187.44,60108400
2023-11-15,187.85,189.5,187.78,188.01,188.01,53790500
2023-11-16,189.57,190.96,188.65,189.71,189.71,54412900
2023-11-17,190.25,190.38,188.57,189.69,189.69,50922700
2023-11-20,189.89,191.91,189.88,191.45,191.45,46505100
2023-11-21,191.41,191.52,189.74,190.64,190.64,38134500
2023-11-22,191.49,192.93,190.83,191.31,191.31,39617700
2023-11-24,190.87,190.9,189.25,189.97,189.97,24048300
2023-11-27,189.92,190.67,188.9,189.79,189.79,40552600
2023-11-28,189.78,191.08,189.4,190.4,190.4,38415400
2023-11-29,190.9,192.09,188.97,189.37,189.37,43014200
2023-11-30,189.84,190.32,188.19,189.95,189.95,48794400
2023-12-01,190.33,191.56,189.23,191.24,191.24,45679300
2023-12-04,189.98,190.05,187.45,189.43,189.43,43389500
2023-12-05,190.21,194.4,190.18,193.42,193.42,66628400
2023-12-06,194.45,194.76,192.11,192.32,192.32,41089700
2023-12-07,193.63,195,193.59,194.27,194.27,47477700
2023-12-08,194.2,195.99,193.67,195.71,195.71,53377300
2023-12-11,193.11,193.49,191.42,193.18,193.18,60943700
2023-12-12,193.08,194.72,191.72,194.71,194.71,52696900
2023-12-13,195.09,198,194.85,197.96,197.96,70404200
2023-12-14,198.02,199.62,196.16,198.11,198.11,66831600
2023-12-15,197.53,198.4,197,197.57,197.57,128256700
2023-12-18,196.09,196.63,194.39,195.89,195.89,55751900
2023-12-19,196.16,196.95,195.89,196.94,196.94,40714100
2023-12-20,196.9,197.68,194.83,194.83,194.83,52242800
2023-12-21,196.1,197.08,193.5,194.68,194.68,46482500
2023-12-22,195.18,195.41,192.97,193.6,193.6,37122800
2023-12-26,193.61,193.89,192.83,193.05,193.05,28919300
2023-12-27,192.49,193.5,191.09,193.15,193.15,48087700
2023-12-28,194.14,194.66,193.17,193.58,193.58,34049900
2023-12-29,193.9,194.4,191.73,192.53,192.53,42628800
2024-01-02,187.15,188.44,183.89,185.64,185.64,82488700
2024-01-03,184.22,185.88,183.43,184.25,184.25,58414500
2024-01-04,182.15,183.09,180.88,181.91,181.91,71983600
2024-01-05,181.99,182.76,180.17,181.18,181.18,62303300
2024-01-08,182.09,185.6,181.5,185.56,185.56,59144500
2024-01-09,183.92,185.15,182.73,185.14,185.14,42841800
2024-01-10,184.35,186.4,183.92,186.19,186.19,45783329
